GEOID,TRACTCE,Equity_Score,Equity_Quintile,Pct_Minority,Pct_Poverty,Med_HH_Income,Pct_ZeroVehicle,Pct_Disability,Pct_Elderly,Pct_TransitCommute,Avg_Travel_Time,Pct_Hispanic,Pct_Black,Pct_White
24510280101,280101,39.2,3,84.9,9.7,86686.0,18.9,13.6,15.9,17.6,33.7,15.1,69.8,5.0
24510280102,280102,44.2,4,89.2,25.2,47974.0,15.2,25.5,23.7,11.2,31.9,6.5,82.8,3.8
24510280200,280200,40.2,3,91.8,20.0,72598.0,9.6,19.4,25.6,18.7,29.9,0.5,91.3,3.5
24510280302,280302,41.2,3,93.9,8.2,90259.0,36.4,17.7,8.6,18.6,26.3,1.7,92.1,2.8
24510272007,272007,41.0,3,63.7,25.0,43422.0,26.7,21.3,17.2,10.8,25.8,10.4,53.3,32.0
24510060300,060300,28.3,2,45.2,14.7,102750.0,20.0,5.8,8.9,6.1,21.4,24.8,20.4,42.3
24510260800,260800,43.2,4,52.9,12.2,65093.0,34.4,17.5,12.4,16.7,22.4,37.1,15.7,41.3
24510080800,080800,45.0,4,90.9,29.6,69250.0,35.5,31.3,10.3,27.9,17.7,7.8,83.1,5.9
24510260900,260900,16.8,1,17.3,3.4,127986.0,5.4,13.9,4.1,3.7,21.7,6.4,10.9,73.4
24510230200,230200,17.1,1,16.8,5.3,135938.0,14.2,4.5,4.0,3.4,22.8,13.0,3.8,77.7
24510270501,270501,24.6,1,57.0,8.0,84657.0,5.3,11.5,13.1,0.0,22.0,10.3,46.7,37.9
24510160200,160200,51.3,5,88.3,17.0,40990.0,58.5,22.7,19.2,22.7,29.7,3.3,84.9,1.6
24510100100,100100,57.6,5,95.2,34.2,21098.0,60.0,24.9,20.8,48.3,33.3,0.6,94.6,4.8
24510130300,130300,46.8,4,86.0,37.0,48047.0,25.9,16.3,15.2,22.4,20.3,1.7,84.2,8.0
24510280301,280301,44.6,4,81.8,18.5,52303.0,33.8,25.2,20.6,5.3,26.6,15.2,66.6,11.4
24510120202,120202,35.8,2,28.3,37.3,33969.0,55.8,5.3,6.3,8.5,17.2,14.6,13.7,34.2
24510272005,272005,26.4,2,27.4,11.8,92708.0,11.8,10.5,17.5,1.9,17.5,7.3,20.1,65.9
24510120201,120201,21.7,1,24.4,15.6,103750.0,22.0,9.0,11.5,6.2,13.3,11.5,12.9,62.3
24510272004,272004,26.0,1,32.9,5.8,70481.0,15.5,11.2,19.2,2.2,16.6,4.0,28.8,64.0
24510160100,160100,59.5,5,86.5,34.3,18750.0,57.9,27.8,24.9,25.3,34.2,11.1,75.4,3.1
24510130200,130200,34.8,2,71.3,8.9,59194.0,29.2,10.2,13.6,15.2,23.2,1.3,70.0,27.1
24510130400,130400,46.3,4,88.4,28.1,41563.0,42.0,14.1,11.2,25.6,26.1,0.8,87.7,8.2
24510130600,130600,15.9,1,7.5,6.0,111250.0,6.4,6.1,10.9,3.3,20.6,6.5,1.1,82.2
24510130700,130700,22.3,1,11.7,13.0,87000.0,12.3,14.7,26.4,1.0,15.6,4.8,6.9,75.1
24510130803,130803,24.4,1,21.3,5.8,81283.0,23.0,13.9,19.8,4.0,18.8,11.1,10.2,66.6
24510130804,130804,21.5,1,15.3,15.0,71250.0,14.5,12.2,12.9,3.9,19.9,3.0,12.3,75.4
24510130805,130805,39.4,3,81.0,14.2,64537.0,30.4,30.5,29.4,6.8,21.8,8.2,72.8,13.5
24510271900,271900,29.6,2,65.5,8.6,66720.0,4.5,18.0,21.5,0.5,23.5,8.0,57.6,20.5
24510260102,260102,32.8,2,87.0,9.3,70996.0,12.9,11.7,13.8,6.0,28.6,1.1,85.9,11.0
24510260201,260201,37.1,3,91.5,15.0,57314.0,24.7,9.8,8.5,6.8,22.8,2.9,88.5,6.2
24510280401,280401,35.0,2,72.9,21.3,70107.0,16.2,20.2,23.0,5.7,23.1,1.3,71.6,24.4
24510280403,280403,30.7,2,68.7,23.5,72949.0,5.3,14.4,15.3,1.0,22.5,12.2,56.5,26.2
24510280404,280404,43.0,3,75.9,20.1,62220.0,32.0,14.6,17.0,23.5,31.2,4.4,71.5,13.5
24510080101,080101,32.9,2,67.1,7.7,77321.0,27.2,15.7,15.2,13.6,22.4,14.2,52.9,25.5
24510080102,080102,52.6,5,94.8,31.4,48799.0,44.0,23.9,16.3,26.6,31.1,0.0,94.8,2.3
24510270701,270701,47.2,4,92.7,19.7,49855.0,26.9,16.7,8.4,10.4,30.2,0.0,92.7,4.1
24510272006,272006,45.6,4,51.7,21.4,40370.0,36.3,19.2,28.2,18.5,28.1,2.9,48.8,38.0
24510280500,280500,67.3,5,91.6,66.5,19150.0,81.3,24.3,10.6,45.1,30.5,0.0,91.6,4.3
24510150100,150100,54.1,5,94.8,40.0,38088.0,57.2,34.2,13.8,21.5,26.7,1.0,93.8,3.0
24510090900,090900,46.1,4,100.0,20.7,43769.0,30.5,25.6,12.1,9.6,26.2,0.0,100.0,0.0
24510120400,120400,40.1,3,73.2,12.8,60313.0,47.8,17.9,8.7,22.7,20.5,4.4,68.8,24.7
24510080301,080301,46.0,4,99.1,25.0,45509.0,31.7,16.3,13.9,15.2,24.9,9.7,89.4,0.9
24510260700,260700,26.4,2,34.2,19.7,82183.0,3.6,6.1,6.2,1.2,24.8,30.3,3.9,48.9
24510010200,010200,13.4,1,6.4,6.3,154545.0,12.7,5.8,4.6,1.9,18.8,2.4,4.0,81.2
24510271801,271801,58.3,5,94.4,35.9,,58.6,32.9,25.8,19.8,31.5,0.2,94.2,2.3
24510150900,150900,49.4,5,94.4,43.8,,43.8,13.2,12.3,7.0,24.1,15.6,78.8,4.0
24510080700,080700,39.6,3,83.2,39.1,55500.0,9.9,12.3,8.5,1.8,21.8,12.3,70.9,3.9
24510261000,261000,31.8,2,45.3,22.9,98125.0,18.4,17.0,17.5,9.8,26.4,6.8,38.5,44.8
24510160300,160300,57.4,5,92.1,41.4,18693.0,72.9,32.5,30.5,8.7,23.0,0.0,92.1,3.0
24510060200,060200,27.1,2,53.0,8.4,62643.0,10.9,13.4,13.6,3.4,19.0,17.5,35.6,37.0
24510200702,200702,56.0,5,92.2,18.4,50901.0,34.9,25.5,22.3,38.7,54.5,0.0,92.2,4.9
24510020200,020200,29.9,2,34.6,23.1,63533.0,21.8,10.2,14.4,4.8,17.0,17.1,17.5,48.9
24510260604,260604,43.1,3,79.3,40.0,41467.0,30.1,13.0,11.0,2.3,22.3,24.8,54.5,18.7
24510280402,280402,38.1,3,97.5,10.7,54444.0,17.1,18.0,35.1,2.6,22.4,2.8,94.8,0.8
24510010100,010100,15.8,1,14.6,4.7,151213.0,4.3,8.6,15.2,2.6,23.5,7.5,7.1,80.4
24510010300,010300,11.1,1,2.6,3.3,161717.0,7.8,8.9,6.0,2.1,16.0,2.6,0.0,89.3
24510010400,010400,13.9,1,13.2,3.3,150677.0,9.2,5.1,8.0,3.3,18.6,7.0,6.2,78.3
24510010500,010500,17.8,1,10.8,11.2,101810.0,11.9,10.4,9.1,2.0,16.1,3.7,7.1,78.4
24510020100,020100,17.8,1,32.5,11.5,116516.0,6.4,7.0,4.5,0.5,16.7,20.9,11.5,60.5
24510020300,020300,18.3,1,14.9,8.6,103263.0,8.5,5.8,12.1,2.0,21.1,2.7,12.3,78.0
24510030100,030100,39.0,3,74.9,50.0,57200.0,38.2,9.9,4.1,0.0,12.4,2.3,72.6,17.2
24510080200,080200,60.9,5,97.0,46.0,54766.0,45.4,32.8,10.2,19.6,25.6,21.4,75.6,2.5
24510080302,080302,54.8,5,100.0,31.1,39167.0,38.7,34.8,27.1,8.7,36.7,0.0,100.0,0.0
24510080400,080400,43.3,4,91.4,20.7,35955.0,38.6,17.1,7.3,13.2,23.6,0.0,91.4,1.6
24510080500,080500,53.2,5,87.9,51.9,27140.0,59.5,31.0,14.5,13.9,18.2,0.0,87.9,8.2
24510080600,080600,46.5,4,92.1,22.9,54167.0,44.4,22.3,18.2,19.9,23.7,3.6,88.6,1.1
24510090100,090100,37.4,3,83.9,14.0,69029.0,24.9,14.7,16.9,7.3,24.7,1.7,82.2,11.0
24510240300,240300,14.3,1,8.8,4.4,155639.0,10.3,9.4,11.1,0.8,19.5,4.4,4.4,85.5
24510250101,250101,39.0,3,84.6,8.7,66767.0,22.9,20.7,16.9,17.7,25.5,6.7,77.9,8.6
24510250102,250102,43.4,4,89.7,10.0,61199.0,25.1,16.1,7.5,23.5,37.9,5.9,83.8,4.0
24510250103,250103,43.3,4,39.9,20.3,38732.0,39.0,32.4,36.6,11.7,27.4,5.5,34.4,52.0
24510250203,250203,40.7,3,96.8,18.4,42750.0,22.6,12.6,13.1,13.5,20.7,1.7,95.1,2.6
24510240400,240400,11.7,1,13.3,5.6,160192.0,2.3,5.2,4.6,2.9,16.7,7.1,6.2,79.3
24510250204,250204,66.8,5,99.3,49.0,21016.0,64.2,29.2,9.8,34.7,37.9,8.0,91.2,0.7
24510180300,180300,41.4,3,64.6,25.3,67895.0,45.4,10.8,5.8,19.3,21.3,2.9,61.7,22.2
24510190100,190100,55.0,5,88.9,42.7,26964.0,43.1,19.3,12.7,34.6,30.0,1.5,87.4,0.8
24510270802,270802,32.9,2,89.8,14.0,61595.0,17.1,6.9,18.0,3.3,19.9,15.5,74.4,3.5
24510271400,271400,19.6,1,16.8,4.2,142328.0,9.9,7.8,19.7,5.2,19.5,14.2,2.6,69.5
24510271501,271501,27.2,2,27.1,6.1,117334.0,15.0,13.5,19.8,7.1,19.0,13.2,13.9,65.2
24510120700,120700,23.7,1,24.4,14.2,74349.0,14.3,9.0,7.7,10.4,18.4,8.0,16.5,62.0
24510130100,130100,54.2,5,87.5,33.2,34006.0,44.9,18.6,14.5,42.9,41.2,0.8,86.6,8.6
24510271300,271300,18.1,1,38.3,4.6,172596.0,7.5,5.2,13.6,1.3,15.4,18.8,19.5,51.3
24510260402,260402,44.3,4,91.5,16.5,37155.0,38.8,17.1,13.2,9.8,25.4,3.1,88.4,4.6
24510260404,260404,46.3,4,51.5,32.5,55921.0,40.5,12.3,8.3,12.8,34.8,42.3,9.2,45.3
24510260501,260501,45.5,4,57.1,13.9,65495.0,21.9,17.0,16.9,3.2,36.4,53.2,3.8,37.5
24510090800,090800,52.0,5,85.7,26.3,46797.0,50.6,33.8,20.7,15.2,34.4,0.1,85.6,11.6
24510100200,100200,64.5,5,93.2,47.8,24360.0,75.7,20.4,13.0,35.6,36.8,0.6,92.6,1.7
24510100300,100300,17.4,1,79.7,0.0,,0.0,0.0,1.0,0.0,0.0,5.8,73.9,11.8
24510110100,110100,29.2,2,20.0,22.8,50345.0,41.0,14.6,12.3,10.6,13.1,4.8,15.2,64.1
24510110200,110200,33.0,2,44.2,18.0,72296.0,43.7,15.7,15.2,5.3,15.4,13.2,31.0,35.9
24510120100,120100,23.3,1,21.2,9.4,102636.0,19.6,7.9,23.4,2.9,17.2,7.6,13.6,59.7
24510120300,120300,35.6,2,47.8,24.2,59583.0,29.5,21.9,8.7,12.2,25.3,8.4,39.5,46.5
24510120500,120500,30.7,2,52.5,12.4,61338.0,28.2,16.4,8.3,13.3,15.0,3.5,49.0,33.5
24510120600,120600,52.6,5,49.7,40.3,22872.0,65.1,33.0,21.1,32.2,21.8,2.9,46.8,39.8
24510280600,280600,53.6,5,85.7,36.5,24717.0,63.6,19.4,11.9,24.4,23.0,0.0,85.7,3.0
